Pais,Total de casos,Casos nuevos,Total de muertes,Muertes nuevas,Recuperados,Casos activos,Casos criticos
 USA,"30,709,627","5,335","558,460",38,"23,133,605","7,017,562","8,623"
 Brasil,"12,227,179",-,"301,087",-,"10,689,646","1,236,446","8,318"
 India,"11,794,407","7,394","160,761",35,"11,232,919","400,727","8,944"
 Rusia,"4,492,692","9,221","96,612",393,"4,109,281","286,799","2,300"
 Francia,"4,378,446",-,"93,180",-,"283,507","4,001,759","4,634"
 UK,"4,312,908",-,"126,382",-,"3,729,155","457,371",711
 Italia,"3,440,862",-,"106,339",-,"2,773,215","561,308","3,588"
 España,"3,241,345",-,"74,064",-,"3,000,670","166,611","1,855"
 Turquía,"3,091,282",-,"30,462",-,"2,881,643","179,177","1,720"
 Alemania,"2,714,592","4,720","75,952",41,"2,456,200","182,440","3,209"
 Colombia,"2,353,210",-,"62,394",-,"2,244,522","46,294","1,982"
 Argentina,"2,269,877",-,"54,946",-,"2,049,035","165,896","3,574"
 México,"2,208,755","5,714","199,627",579,"1,748,317","260,811","4,798"
 Polonia,"2,154,821","34,151","50,860",520,"1,722,856","381,105","2,620"
 Irán,"1,830,823","7,506","62,142",97,"1,569,697","198,984","3,889"
 Ucrania,"1,596,575","16,669","31,135",362,"1,283,020","282,420",177
 Sudáfrica,"1,540,009",-,"52,372",-,"1,466,595","21,042",546
 República Checa,"1,495,361","8,763","25,450",83,"1,295,205","174,706","1,874"
 Perú,"1,492,519",-,"50,656",-,"1,406,304","35,559","2,253"
 Indonesia,"1,482,559","6,107","40,081",98,"1,317,199","125,279",-
 Países Bajos,"1,220,945",-,"16,371",-,-,"1,204,574",625
 Chile,"947,783",-,"22,402",-,"888,826","36,555","2,348"
 Canadá,"946,370",-,"22,759",-,"886,512","37,099",586
 Rumanía,"919,794","6,651","22,719",140,"825,208","71,867","1,348"
 Bélgica,"849,090","6,315","22,786",23,"55,928","770,376",601
 Israel,"830,515",487,"6,157",3,"811,452","12,906",482
 Portugal,"819,210",423,"16,814",9,"770,448","31,948",154
 Iraq,"815,605","6,513","14,128",33,"732,252","69,225",484
 Suecia,"773,690",-,"13,373",36,-,"760,317",294
 Filipinas,"693,048","8,773","13,095",56,"580,062","99,891",785
 Paquistán,"640,988","3,946","14,028",63,"588,975","37,985","2,587"
 Hungría,"603,347","9,637","19,224",272,"387,570","196,553","1,467"
 Suiza,"590,164","2,046","10,278",2,"541,208","38,678",168
 Bangladesh,"584,395","3,587","8,797",34,"529,594","46,004",-
 Serbia,"571,895","5,226","5,075",36,"480,400","86,420",242
 Jordania,"571,290","8,433","6,277",96,"463,893","101,120",729
 Austria,"526,393","3,124","9,178",27,"483,460","33,755",446
 Marruecos,"492,842",-,"8,786",-,"480,607","3,449",270
 Japón,"460,897","1,854","8,938",30,"437,702","14,257",325
 Líbano,"448,721",-,"5,903",-,"350,694","92,124",991
 EAU,"448,637","2,043","1,466",10,"431,773","15,398",-
 Arabia Saudita,"386,782",482,"6,630",6,"375,831","4,321",622
 Eslovaquia,"354,182","1,654","9,313",52,"255,300","89,569",693
 Panamá,"352,082",-,"6,065",-,"340,974","5,043",111
 Malasia,"338,168","1,360","1,248",2,"322,416","14,504",157
 Bulgaria,"317,116",-,"12,413",-,"242,311","62,392",743
 Ecuador,"316,807",-,"16,540",-,"271,847","28,420",506
 Belarus,"314,993","1,141","2,193",9,"305,560","7,240",-
 Georgia,"279,027",399,"3,732",10,"271,278","4,017",-
 Nepal,"276,509",120,"3,020",-,"272,272","1,217",-
 Bolivia,"267,059",973,"12,107",14,"214,988","39,964",71
 Croacia,"262,309","1,673","5,838",10,"248,064","8,407",100
 República Dominicana,"250,968",389,"3,295",6,"210,042","37,631",145
 Azerbaijan,"250,921","1,429","3,421",17,"234,382","13,118",-
 Túnez,"247,254",-,"8,637",-,"213,969","24,648",277
 Grecia,"245,405",-,"7,649",-,"209,436","28,320",699
 Kazajistán,"236,200","1,105","2,941",-,"213,743","19,516",221
 Irlanda,"232,164",-,"4,628",-,"23,364","204,172",75
 Palestina,"232,038","1,962","2,521",20,"205,289","24,228",205
 Dinamarca,"227,894",-,"2,405",-,"215,770","9,719",46
 Kuwait,"223,042",-,"1,256",-,"207,392","14,394",238
 Moldavia,"219,988",-,"4,661",-,"193,562","21,765",341
 Costa Rica,"213,438",-,"2,908",-,"190,950","19,580",147
 Lituania,"211,804",769,"3,521",4,"196,067","12,216",141
 Eslovenia,"209,753","1,164","3,998",4,"194,238","11,517",107
 Paraguay,"200,823",-,"3,869",-,"164,401","32,553",413
 Egipto,"197,350",-,"11,720",-,"151,444","34,186",90
 Etiopía,"192,575",-,"2,718",-,"150,642","39,215",752
 Guatemala,"190,208",-,"6,749",-,"173,301","10,158",5
 Armenia,"187,441","1,257","3,416",18,"169,727","14,298",-
 Honduras,"184,821",790,"4,506",17,"69,935","110,380",461
 Qatar,"175,332",-,278,-,"161,488","13,566",224
 Nigeria,"162,178",-,"2,031",-,"148,726","11,421",10
 Bosnia,"160,163","1,965","6,144",77,"127,799","26,220",-
 Libya,"155,232",912,"2,591",9,"142,633","10,008",-
 Omán,"153,838",733,"1,650",6,"140,766","11,422",128
 Venezuela,"153,315",-,"1,521",-,"142,381","9,413",162
 Birmania,"142,315",23,"3,204",-,"131,774","7,337",-
 Bahrain,"138,283",-,507,-,"130,397","7,379",49
 Kenia,"124,707",-,"2,066",-,"90,770","31,871",141
 Albania,"122,295",-,"2,171",-,"87,193","32,931",46
 Macedonia,"122,227",-,"3,545",-,"102,652","16,030",124
 Algeria,"116,438",-,"3,069",-,"81,065","32,304",9
 Estonia,"100,437","1,429",836,13,"71,376","28,225",69
 South Korea,"100,276",430,"1,709",2,"92,068","6,499",111
 Letonia,"99,476",606,"1,864",13,"90,537","7,075",69
 Sri Lanka,"91,018",-,552,-,"87,630","2,836",-
 Noruega,"90,535",431,656,-,"74,332","15,547",47
 China,"90,136",11,"4,636",-,"85,335",165,-
 Ghana,"89,893",-,734,-,"86,248","2,911",47
 Montenegro,"88,550",-,"1,224",-,"79,634","7,692",69
 Uruguay,"87,812",-,843,-,"71,588","15,381",225
 Kirguistán,"87,758",106,"1,494",2,"84,407","1,857",16
 Zambia,"86,993",-,"1,187",-,"83,617","2,189",119
 Uzbekistán,"81,816",138,624,1,"80,143","1,049",23
 Finlandia,"74,242",726,815,4,"46,000","27,427",59
 Cuba,"68,986",-,405,-,"65,177","3,404",67
 Mozambique,"66,649",-,752,-,"53,803","12,094",-
 El Salvador,"63,766",-,"1,990",-,"61,009",767,35
 Singapur,"60,253",17,30,-,"60,078",145,-
 Luxemburgo,"59,907",-,728,-,"55,842","3,337",17
 Afganistán,"56,254",28,"2,469",2,"49,937","3,848","1,105"
 Chipre,"43,286",-,248,-,"2,057","40,981",47
 Namibia,"42,864",-,502,-,"39,976","2,386",30
 Costa de Marfil,"41,307",-,224,-,"37,320","3,763",-
 Uganda,"40,734",14,334,-,"15,147","25,253",-
 Camerún,"40,622",-,601,-,"35,261","4,760",53
 Senegal,"38,255",121,"1,028",5,"35,811","1,416",38
 Botswana,"37,559",-,485,-,"32,550","4,524",1
 Zimbabue,"36,749",-,"1,516",-,"34,476",757,13
 Jamaica,"36,670",-,545,-,"16,618","19,507",42
 Malawi,"33,354",-,"1,105",-,"29,253","2,996",31
 Sudán,"29,661",-,"2,028",-,"23,990","3,643",-
 Australia,"29,228",10,909,-,"26,257","2,062",-
 Malta,"28,612",102,378,1,"26,148","2,086",-
 Tailandia,"28,443",97,92,-,"26,946","1,405",1
 DRC,"27,729",69,726,-,"25,355","1,648",-
 Madagascar,"23,040",196,369,6,"21,372","1,299",23
 Maldivas,"22,929",-,66,-,"20,359","2,504",102
 Angola,"21,836",-,532,-,"20,172","1,132",18
 Ruanda,"21,106",-,297,-,"19,441","1,368",1
 Guinea,"19,232",148,113,-,"16,190","2,929",24
 Mayotte,"19,224",-,154,-,"2,964","16,106",16
 Polinesia Francesa,"18,598",-,141,-,"4,842","13,615",2
 Gabón,"18,426",-,109,-,"15,863","2,454",33
 Siria,"17,896",-,"1,195",-,"11,907","4,794",-
 Mauritania,"17,690",-,447,-,"16,947",296,14
 Suazilandia,"17,301",-,666,-,"16,175",460,36
 Guyana  Francesa,"16,922",-,89,-,"9,995","6,838",6
 Cabo Verde,"16,661",-,163,-,"15,889",609,23
 Reunión,"15,561",-,102,-,"14,064","1,395",57
 Tajikistan,"13,308",-,90,-,"13,218",-,-
 Haiti,"12,732",-,251,-,"10,754","1,727",-
 Burkina Faso,"12,596",-,145,-,"12,269",182,-
 Belice,"12,410",-,317,-,"12,047",46,-
 Andorra,"11,638",-,114,-,"11,082",442,12
 Hong Kong,"11,429",9,204,-,"10,994",231,10
 Guadalupe,"11,298",-,165,-,"2,242","8,891",8
 Lesotho,"10,686",-,315,-,"4,438","5,933",-
 Somalia,"10,369",-,453,-,"4,564","5,352",-
 Sudán del Sur,"9,969",-,107,-,"9,002",860,1
 Guyana,"9,820",-,220,-,"8,632",968,12
 Congo,"9,681",-,135,-,"7,514","2,032",-
 Mali,"9,577",-,372,-,"6,680","2,525",-
 Togo,"9,340",193,105,-,"7,400","1,835",-
 Surinán,"9,077",-,177,-,"8,568",332,2
 Aruba,"8,985",-,82,-,"8,336",567,8
 Bahamas,"8,935",-,188,-,"7,757",990,3
 Trinidad y Tobago,"7,903",-,141,-,"7,575",187,12
 Martinica,"7,710",-,49,-,98,"7,563",5
 Benin,"7,100",-,90,-,"5,552","1,458",35
 Yibuti,"6,895",-,64,-,"6,172",659,-
 Guinea Ecuatorial,"6,851",-,102,-,"6,335",414,10
 Nicaragua,"6,629",-,177,-,"4,225","2,227",-
 Curaçao,"6,424",-,27,-,"4,952","1,445",38
 Islandia,"6,158",14,29,-,"6,040",89,1
 Mongolia,"5,895",285,5,-,"4,044","1,846",22
 Gambia,"5,303",-,161,-,"4,926",216,3
 República Centroaficana,"5,088",-,64,-,"4,957",67,2
 Níger,"4,939",-,185,-,"4,553",201,1
 San Marino,"4,484",-,82,-,"3,914",488,9
 Chad,"4,453",-,158,-,"4,072",223,-
 Gibraltar,"4,271",-,94,-,"4,160",17,1
 Santa Lucía,"4,161",-,58,-,"3,977",126,2
 Papua Nueva Guinea,"4,109",-,39,-,846,"3,224",-
 Islas del Canal,"4,046",-,86,-,"3,960",-,1
 Sierra Leona,"3,953",-,79,-,"2,796","1,078",-
 Seychelles,"3,882",-,18,-,"3,318",546,-
 Yemén,"3,703",-,800,-,"1,577","1,326",23
 Comoros,"3,682",-,146,-,"3,491",45,-
 Guinea-Bissau,"3,591",-,56,-,"2,901",634,16
 Barbados,"3,582",-,40,-,"3,401",141,-
 Eritrea,"3,183",-,8,-,"2,962",213,-
 Burundi,"2,657",-,6,-,773,"1,878",-
 Liechtenstein,"2,642",6,56,-,"2,549",37,-
 Vietnam,"2,579",3,35,-,"2,265",279,-
 Nueva Zelanda,"2,476",6,26,-,"2,379",71,-
 Islas Turcas y Caicos,"2,315",-,17,-,"2,183",115,2
 Mónaco,"2,210",-,28,-,"2,040",142,3
 Santo Tomé y Príncipe,"2,174",-,34,-,"2,015",125,-
 Sint Maarten,"2,114",-,27,-,"2,062",25,1
 Liberia,"2,042",-,85,-,"1,899",58,2
 Camboya,"1,872",55,5,-,"1,056",811,-
 San Vicente y las Granadinas,"1,715",12,10,-,"1,535",170,2
 San Martín,"1,619",-,12,-,"1,399",208,7
 Isla de Man,"1,530",-,26,-,702,802,12
 Caribe Neerlandés,"1,192",-,10,-,727,455,-
 Antigua y Barbuda,"1,100",20,28,-,743,329,45
 Taiwán,"1,012",3,10,-,971,31,-
 Bermuda,880,40,12,-,718,150,-
 Bután,870,-,1,-,867,2,-
 Mauricio,850,-,10,-,592,248,-
 San Bartolomé,775,-,1,-,462,312,-
 Diamond Princess,712,-,13,-,699,-,-
 Islas Faroe,661,-,1,-,660,-,-
 Tanzania,509,-,21,-,183,305,7
 Islas Cayman,482,-,2,-,454,26,-
 Timor Oriental,394,22,-,-,137,257,-
 Wallis and Futuna,352,11,3,-,18,331,4
 Brunei,206,-,3,-,188,15,-
 Dominica,160,-,-,-,151,9,-
 Granada,154,-,1,-,151,2,-
 Islas Vírgenes Británicas,153,-,1,-,131,21,-
 Nueva Caledonia,120,4,-,-,58,62,-
 Fiji,67,-,2,-,64,1,-
 Malvinas,54,-,-,-,54,-,-
 Laos,49,-,-,-,45,4,-
 Macao,48,-,-,-,48,-,-
 San Cristóbal y Nieves,44,-,-,-,42,2,-
 Groenlandia,31,-,-,-,31,-,-
 Vaticano,27,-,-,-,15,12,-
 San Pedro y Miquelón,24,-,-,-,24,-,-
 Anguilla,22,-,-,-,20,2,-
 Montserrat,20,-,1,-,19,-,-
 Solomon Islands,18,-,-,-,16,2,-
 Sahara Occidental,10,-,1,-,8,1,-
 MS Zaandam,9,-,2,-,7,-,-
 Marshall Islands,4,-,-,-,4,-,-
 Samoa,3,-,-,-,2,1,-
 Vanuatu,3,-,-,-,1,2,-
 Micronesia,1,-,-,-,1,-,-
