,Pais,Total de casos,Casos nuevos,Total de muertes,Muertes nuevas,Recuperados,Casos activos,Casos criticos
0, USA,30709627.0,5335.0,558460.0,38.0,23133605.0,7017562.0,8623.0
1, Brasil,12227179.0,0.0,301087.0,0.0,10689646.0,1236446.0,8318.0
2, India,11794407.0,7394.0,160761.0,35.0,11232919.0,400727.0,8944.0
3, Rusia,4492692.0,9221.0,96612.0,393.0,4109281.0,286799.0,2300.0
4, Francia,4378446.0,0.0,93180.0,0.0,283507.0,4001759.0,4634.0
5, UK,4312908.0,0.0,126382.0,0.0,3729155.0,457371.0,711.0
6, Italia,3440862.0,0.0,106339.0,0.0,2773215.0,561308.0,3588.0
7, España,3241345.0,0.0,74064.0,0.0,3000670.0,166611.0,1855.0
8, Turquía,3091282.0,0.0,30462.0,0.0,2881643.0,179177.0,1720.0
9, Alemania,2714592.0,4720.0,75952.0,41.0,2456200.0,182440.0,3209.0
10, Colombia,2353210.0,0.0,62394.0,0.0,2244522.0,46294.0,1982.0
11, Argentina,2269877.0,0.0,54946.0,0.0,2049035.0,165896.0,3574.0
12, México,2208755.0,5714.0,199627.0,579.0,1748317.0,260811.0,4798.0
13, Polonia,2154821.0,34151.0,50860.0,520.0,1722856.0,381105.0,2620.0
14, Irán,1830823.0,7506.0,62142.0,97.0,1569697.0,198984.0,3889.0
15, Ucrania,1596575.0,16669.0,31135.0,362.0,1283020.0,282420.0,177.0
16, Sudáfrica,1540009.0,0.0,52372.0,0.0,1466595.0,21042.0,546.0
17, República Checa,1495361.0,8763.0,25450.0,83.0,1295205.0,174706.0,1874.0
18, Perú,1492519.0,0.0,50656.0,0.0,1406304.0,35559.0,2253.0
19, Indonesia,1482559.0,6107.0,40081.0,98.0,1317199.0,125279.0,0.0
20, Países Bajos,1220945.0,0.0,16371.0,0.0,0.0,1204574.0,625.0
21, Chile,947783.0,0.0,22402.0,0.0,888826.0,36555.0,2348.0
22, Canadá,946370.0,0.0,22759.0,0.0,886512.0,37099.0,586.0
23, Rumanía,919794.0,6651.0,22719.0,140.0,825208.0,71867.0,1348.0
24, Bélgica,849090.0,6315.0,22786.0,23.0,55928.0,770376.0,601.0
25, Israel,830515.0,487.0,6157.0,3.0,811452.0,12906.0,482.0
26, Portugal,819210.0,423.0,16814.0,9.0,770448.0,31948.0,154.0
27, Iraq,815605.0,6513.0,14128.0,33.0,732252.0,69225.0,484.0
28, Suecia,773690.0,0.0,13373.0,36.0,0.0,760317.0,294.0
29, Filipinas,693048.0,8773.0,13095.0,56.0,580062.0,99891.0,785.0
30, Paquistán,640988.0,3946.0,14028.0,63.0,588975.0,37985.0,2587.0
31, Hungría,603347.0,9637.0,19224.0,272.0,387570.0,196553.0,1467.0
32, Suiza,590164.0,2046.0,10278.0,2.0,541208.0,38678.0,168.0
33, Bangladesh,584395.0,3587.0,8797.0,34.0,529594.0,46004.0,0.0
34, Serbia,571895.0,5226.0,5075.0,36.0,480400.0,86420.0,242.0
35, Jordania,571290.0,8433.0,6277.0,96.0,463893.0,101120.0,729.0
36, Austria,526393.0,3124.0,9178.0,27.0,483460.0,33755.0,446.0
37, Marruecos,492842.0,0.0,8786.0,0.0,480607.0,3449.0,270.0
38, Japón,460897.0,1854.0,8938.0,30.0,437702.0,14257.0,325.0
39, Líbano,448721.0,0.0,5903.0,0.0,350694.0,92124.0,991.0
40, EAU,448637.0,2043.0,1466.0,10.0,431773.0,15398.0,0.0
41, Arabia Saudita,386782.0,482.0,6630.0,6.0,375831.0,4321.0,622.0
42, Eslovaquia,354182.0,1654.0,9313.0,52.0,255300.0,89569.0,693.0
43, Panamá,352082.0,0.0,6065.0,0.0,340974.0,5043.0,111.0
44, Malasia,338168.0,1360.0,1248.0,2.0,322416.0,14504.0,157.0
45, Bulgaria,317116.0,0.0,12413.0,0.0,242311.0,62392.0,743.0
46, Ecuador,316807.0,0.0,16540.0,0.0,271847.0,28420.0,506.0
47, Belarus,314993.0,1141.0,2193.0,9.0,305560.0,7240.0,0.0
48, Georgia,279027.0,399.0,3732.0,10.0,271278.0,4017.0,0.0
49, Nepal,276509.0,120.0,3020.0,0.0,272272.0,1217.0,0.0
50, Bolivia,267059.0,973.0,12107.0,14.0,214988.0,39964.0,71.0
51, Croacia,262309.0,1673.0,5838.0,10.0,248064.0,8407.0,100.0
52, República Dominicana,250968.0,389.0,3295.0,6.0,210042.0,37631.0,145.0
53, Azerbaijan,250921.0,1429.0,3421.0,17.0,234382.0,13118.0,0.0
54, Túnez,247254.0,0.0,8637.0,0.0,213969.0,24648.0,277.0
55, Grecia,245405.0,0.0,7649.0,0.0,209436.0,28320.0,699.0
56, Kazajistán,236200.0,1105.0,2941.0,0.0,213743.0,19516.0,221.0
57, Irlanda,232164.0,0.0,4628.0,0.0,23364.0,204172.0,75.0
58, Palestina,232038.0,1962.0,2521.0,20.0,205289.0,24228.0,205.0
59, Dinamarca,227894.0,0.0,2405.0,0.0,215770.0,9719.0,46.0
60, Kuwait,223042.0,0.0,1256.0,0.0,207392.0,14394.0,238.0
61, Moldavia,219988.0,0.0,4661.0,0.0,193562.0,21765.0,341.0
62, Costa Rica,213438.0,0.0,2908.0,0.0,190950.0,19580.0,147.0
63, Lituania,211804.0,769.0,3521.0,4.0,196067.0,12216.0,141.0
64, Eslovenia,209753.0,1164.0,3998.0,4.0,194238.0,11517.0,107.0
65, Paraguay,200823.0,0.0,3869.0,0.0,164401.0,32553.0,413.0
66, Egipto,197350.0,0.0,11720.0,0.0,151444.0,34186.0,90.0
67, Etiopía,192575.0,0.0,2718.0,0.0,150642.0,39215.0,752.0
68, Guatemala,190208.0,0.0,6749.0,0.0,173301.0,10158.0,5.0
69, Armenia,187441.0,1257.0,3416.0,18.0,169727.0,14298.0,0.0
70, Honduras,184821.0,790.0,4506.0,17.0,69935.0,110380.0,461.0
71, Qatar,175332.0,0.0,278.0,0.0,161488.0,13566.0,224.0
72, Nigeria,162178.0,0.0,2031.0,0.0,148726.0,11421.0,10.0
73, Bosnia,160163.0,1965.0,6144.0,77.0,127799.0,26220.0,0.0
74, Libya,155232.0,912.0,2591.0,9.0,142633.0,10008.0,0.0
75, Omán,153838.0,733.0,1650.0,6.0,140766.0,11422.0,128.0
76, Venezuela,153315.0,0.0,1521.0,0.0,142381.0,9413.0,162.0
77, Birmania,142315.0,23.0,3204.0,0.0,131774.0,7337.0,0.0
78, Bahrain,138283.0,0.0,507.0,0.0,130397.0,7379.0,49.0
79, Kenia,124707.0,0.0,2066.0,0.0,90770.0,31871.0,141.0
80, Albania,122295.0,0.0,2171.0,0.0,87193.0,32931.0,46.0
81, Macedonia,122227.0,0.0,3545.0,0.0,102652.0,16030.0,124.0
82, Algeria,116438.0,0.0,3069.0,0.0,81065.0,32304.0,9.0
83, Estonia,100437.0,1429.0,836.0,13.0,71376.0,28225.0,69.0
84, South Korea,100276.0,430.0,1709.0,2.0,92068.0,6499.0,111.0
85, Letonia,99476.0,606.0,1864.0,13.0,90537.0,7075.0,69.0
86, Sri Lanka,91018.0,0.0,552.0,0.0,87630.0,2836.0,0.0
87, Noruega,90535.0,431.0,656.0,0.0,74332.0,15547.0,47.0
88, China,90136.0,11.0,4636.0,0.0,85335.0,165.0,0.0
89, Ghana,89893.0,0.0,734.0,0.0,86248.0,2911.0,47.0
90, Montenegro,88550.0,0.0,1224.0,0.0,79634.0,7692.0,69.0
91, Uruguay,87812.0,0.0,843.0,0.0,71588.0,15381.0,225.0
92, Kirguistán,87758.0,106.0,1494.0,2.0,84407.0,1857.0,16.0
93, Zambia,86993.0,0.0,1187.0,0.0,83617.0,2189.0,119.0
94, Uzbekistán,81816.0,138.0,624.0,1.0,80143.0,1049.0,23.0
95, Finlandia,74242.0,726.0,815.0,4.0,46000.0,27427.0,59.0
96, Cuba,68986.0,0.0,405.0,0.0,65177.0,3404.0,67.0
97, Mozambique,66649.0,0.0,752.0,0.0,53803.0,12094.0,0.0
