Pais,Total de casos,Casos nuevos,Total de muertes,Muertes nuevas,Recuperados,Casos activos,Casos criticos
 USA,"31,869,980",-,"575,593",-,"24,423,589","6,870,798","9,218"
 Brasil,"13,445,006",-,"351,469",-,"11,838,564","1,254,973","8,318"
 India,"13,358,805","3,340","169,305",-,"12,081,443","1,108,057","8,944"
 Francia,"5,023,785",-,"98,602",-,"303,639","4,621,544","5,729"
 Rusia,"4,632,688",-,"102,649",-,"4,258,279","271,760","2,300"
 UK,"4,368,045",-,"127,080",-,"3,961,738","279,227",406
 Turquía,"3,798,333",-,"33,702",-,"3,301,217","463,414","2,739"
 Italia,"3,754,077",-,"113,923",-,"3,107,069","533,085","3,588"
 España,"3,347,512",-,"76,328",-,"3,095,922","175,262","2,050"
 Alemania,"2,992,803",-,"78,858",-,"2,671,200","242,745","4,515"
 Polonia,"2,552,898",-,"58,176",-,"2,143,065","351,657","3,373"
 Colombia,"2,518,715",-,"65,608",-,"2,375,176","77,931","2,603"
 Argentina,"2,517,300",-,"57,647",-,"2,217,783","241,870","3,761"
 México,"2,278,420","6,356","207,020",-,"1,807,676","263,724","4,798"
 Irán,"2,049,078",-,"64,232",-,"1,702,062","282,784","4,329"
 Ucrania,"1,853,249","12,112","37,014",235,"1,410,860","405,375",177
 Perú,"1,639,767",-,"54,669",-,"1,557,779","27,319","2,321"
 República Checa,"1,580,189","2,198","27,808",37,"1,449,052","103,329","1,220"
 Indonesia,"1,562,868",-,"42,443",-,"1,409,288","111,137",-
 Sudáfrica,"1,557,527",-,"53,256",-,"1,482,682","21,589",546
 Países Bajos,"1,342,447",-,"16,754",-,-,"1,325,693",777
 Chile,"1,068,522",-,"24,213",-,"998,400","45,909","3,139"
 Canadá,"1,052,539",-,"23,287",-,"958,633","70,619",928
 Rumanía,"1,002,865",-,"25,006",-,"902,239","75,620","1,492"
 Bélgica,"922,487","4,570","23,428",38,"59,432","839,627",925
 Iraq,"918,155",-,"14,678",-,"809,663","93,814",453
 Suecia,"857,401",-,"13,621",-,-,"843,780",377
 Filipinas,"853,209",-,"14,744",-,"648,220","190,245",762
 Israel,"835,871",60,"6,294",2,"825,687","3,890",263
 Portugal,"826,928",-,"16,910",-,"784,208","25,810",119
 Paquistán,"721,018","5,050","15,443",114,"631,700","73,875","4,143"
 Hungría,"720,164","6,296","23,417",206,"426,394","270,353","1,290"
 Bangladesh,"678,937",-,"9,661",-,"572,378","96,898",-
 Jordania,"662,395",-,"7,708",-,"588,353","66,334",729
 Serbia,"639,476",-,"5,700",-,"550,238","83,538",260
 Suiza,"617,543",-,"10,452",-,"557,566","49,525",189
 Austria,"574,755",-,"9,662",-,"532,539","32,554",586
 Marruecos,"501,688",-,"8,891",-,"488,015","4,782",242
 Japón,"499,793",-,"9,353",-,"460,993","29,447",511
 Líbano,"494,633",-,"6,630",-,"402,172","85,831",864
 EAU,"481,937",-,"1,529",-,"466,804","13,604",-
 Arabia Saudita,"397,636",-,"6,747",-,"382,773","8,116",914
 Bulgaria,"371,531",-,"14,351",-,"285,799","71,381",801
 Eslovaquia,"370,473",-,"10,487",-,"255,300","104,686",515
 Malasia,"359,117",-,"1,321",-,"342,737","15,059",194
 Panamá,"358,377",-,"6,159",-,"347,898","4,320",105
 Ecuador,"344,877",-,"17,275",-,"290,314","37,288",593
 Belarus,"334,863",-,"2,344",-,"325,108","7,411",-
 Grecia,"293,763",-,"8,833",-,"246,997","37,933",781
 Croacia,"290,899",-,"6,269",-,"270,964","13,666",180
